implementation,factor,MC
R,3,0.9960626609200559
R,4,0.9948009135083851
R,1,0.938058349320612
R,2,0.9983137290940571
R,3,0.995339715189456
R,4,0.9958045478246915
R,1,0.8910003001943969
R,2,0.9963380464756308
R,3,0.997073965065844
R,4,0.9957737555112006
R,1,0.4747159338678222
R,2,0.9983974334153364
R,3,0.9964186546687978
R,4,0.9935739702111442
R,1,0.3970351334431904
R,2,0.9979727273312208
R,3,0.995098734927992
R,4,0.9947058705427125
R,1,0.38447564339842494
R,2,0.9977588599923757
R,3,0.9956395857398329
R,4,0.9910235679746383
R,1,0.9399563389546415
R,2,0.9977880117025486
R,3,0.9962704704682506
R,4,0.9956100548253193
R,1,0.7492785583102151
R,2,0.9981238701739494
R,3,0.9943740163722484
R,4,0.9943310159278322
R,1,0.429458143457321
R,2,0.9975579881010445
R,3,0.9964917903992858
R,4,0.9954311159196965
R,1,0.48140767184228933
R,2,0.9973525014979803
R,3,0.9953908947686678
R,4,0.9933795148146246
R,1,0.8864335741463352
R,2,0.9969006747259115
R,3,0.9975356425468523
R,4,0.9908482050926224
R,1,0.8606237629607547
R,2,0.9975830281021757
R,3,0.9967564018935695
R,4,0.994021561843689
R,1,0.9233891743293433
R,2,0.9977727577379276
R,3,0.9958851816805323
R,4,0.9934013853452134
R,1,0.8570273481624997
R,2,0.9985812507229006
R,3,0.9960538848478535
R,4,0.9950287548211592
R,1,0.8578487536243815
R,2,0.9975665070405042
R,3,0.9941130186288037
R,4,0.9922029603242862
R,1,0.864290716369264
R,2,0.9977159441202402
R,3,0.9956642766862472
R,4,0.9936768333677918
R,1,0.9105725395249495
R,2,0.9976682853036618
R,3,0.9957124898068982
R,4,0.9934640191766114
R,1,0.808252787394581
R,2,0.9979647036280181
R,3,0.9958617208068714
R,4,0.9949333398079053
R,1,0.37861048650260754
R,2,0.9977779777466493
R,3,0.9962869789557762
R,4,0.9918606708154486
R,1,0.4055228055205284
R,2,0.9973710070749278
R,3,0.9955241509843995
R,4,0.9964386842216699
R,1,0.40676936012945075
R,2,0.9972558086833085
R,3,0.996621680166204
R,4,0.9927861708732034
R,1,0.8108497912231551
R,2,0.9979106409174794
R,3,0.9962963904810078
R,4,0.9950040241878494
R,1,0.7839537167643154
R,2,0.9975745366192562
R,3,0.9950566952552982
R,4,0.9931881174227564
R,1,0.872817210221666
R,2,0.9981477321046086
R,3,0.9954919463198079
R,4,0.993858927621755
R,1,0.6774888034556116
R,2,0.9978607254904195
R,3,0.996640286567173
R,4,0.9922458823634446
R,1,0.8553851572996387
R,2,0.997535420451652
R,3,0.9955653617543633
R,4,0.9936353127414473
R,1,0.8919322992755664
R,2,0.996766188276084
R,3,0.9965315778761947
R,4,0.9906287947875873
R,1,0.8584899675620321
R,2,0.9976808437554607
R,3,0.9964673003047754
R,4,0.9950085223759919
R,1,0.920411079473213
R,2,0.9965997723630977
R,3,0.9958051372749271
R,4,0.992452457827381
R,1,0.7840014057843112
R,2,0.9979597781235547
R,3,0.9964255302360622
R,4,0.9953211432591977
R,1,0.8998258986001219
R,2,0.9972538846474664
R,3,0.9964925587366404
R,4,0.9923194152659512
R,1,0.8009212380827718
R,2,0.997885467797571
R,3,0.9945445640534102
R,4,0.9906483104615186
R,1,0.8406369523866561
R,2,0.9979446882391733
R,3,0.9969961801887909
R,4,0.9951584992292563
R,1,0.3687069745472964
R,2,0.9977638312814305
R,3,0.9966576530369466
R,4,0.9933050751958217
R,1,0.9565202217533741
R,2,0.9977563766707896
R,3,0.9940525372092721
R,4,0.9925048166966988
R,1,0.5827336871779348
R,2,0.9965034192743801
R,3,0.9971585024398056
R,4,0.9903227593004965
Matlab,1,0.9389184110996485
Matlab,2,0.9975958191079586
Matlab,3,0.9949112094109629
Matlab,4,0.9931962850950267
Matlab,1,0.905028581181557
Matlab,2,0.9975511620113351
Matlab,3,0.9964006959973629
Matlab,4,0.9957147963954219
Matlab,1,0.8830582266444463
Matlab,2,0.9974730841157495
Matlab,3,0.9966672882448332
Matlab,4,0.9921892155385196
Matlab,1,0.6688190169301705
Matlab,2,0.9984394860008217
Matlab,3,0.9966468097015195
Matlab,4,0.9908741317445036
Matlab,1,0.8020522691154881
Matlab,2,0.9982136416669662
Matlab,3,0.9957616933142817
Matlab,4,0.9929870969477631
Matlab,1,0.9171822251787476
Matlab,2,0.9969530015583774
Matlab,3,0.9944064540555858
Matlab,4,0.9932392568634227
Matlab,1,0.7790752355158305
Matlab,2,0.9973222431035411
Matlab,3,0.9972474044455921
Matlab,4,0.9927560249623688
Matlab,1,0.8162264742718764
Matlab,2,0.9971799238691497
Matlab,3,0.9954230914075943
Matlab,4,0.9961390217288798
Matlab,1,0.7780704062769709
Matlab,2,0.9972595295700789
Matlab,3,0.9958729597414989
Matlab,4,0.9943271041006163
Matlab,1,0.7123410102404205
Matlab,2,0.9970473009038701
Matlab,3,0.9931063006988863
Matlab,4,0.994667606287891
Matlab,1,0.8595202646024102
Matlab,2,0.9965275325155479
Matlab,3,0.9957380891209353
Matlab,4,0.9947527717483012
Matlab,1,0.9544958956879799
Matlab,2,0.997198985417744
Matlab,3,0.9968952795275555
Matlab,4,0.9921308147108913
Matlab,1,0.7701727791861149
Matlab,2,0.9971143806429925
Matlab,3,0.9970243483514323
Matlab,4,0.9964882803728526
Matlab,1,0.8341210946504674
Matlab,2,0.9978349304318457
Matlab,3,0.996826063613096
Matlab,4,0.9900968318347174
Matlab,1,0.7515812201662172
Matlab,2,0.9976191534683009
Matlab,3,0.9947381541086151
Matlab,4,0.9942194478012347
Matlab,1,0.8824488059456275
Matlab,2,0.9969815133032726
Matlab,3,0.9961256266372888
Matlab,4,0.9936540162731201
Matlab,1,0.8564527940296426
Matlab,2,0.9977677499553477
Matlab,3,0.9951253507436203
Matlab,4,0.9935180128904169
Matlab,1,0.6615556220053019
Matlab,2,0.9973586461380146
Matlab,3,0.9964764582659187
Matlab,4,0.9945272168283573
Matlab,1,0.7564469134754579
Matlab,2,0.9977538920293364
Matlab,3,0.9952955595283504
Matlab,4,0.9920160767250479
Matlab,1,0.7306283655096946
Matlab,2,0.9964999760166472
Matlab,3,0.997107036311873
Matlab,4,0.9937163841059593
Matlab,1,0.9016923221107201
Matlab,2,0.9978396699001045
