implementation,factor,MC
R,2,0.9981769934103499
R,3,0.9962150545233682
R,4,0.9958692331629582
R,1,0.39604004196440434
R,2,0.9978204280155726
R,3,0.993912129536852
R,4,0.993308861056086
R,1,0.8116271936087659
R,2,0.9979601627964252
R,3,0.9940810422065882
R,4,0.993656777403573
R,1,0.7096510940969329
R,2,0.9961980522562114
R,3,0.9950348817206202
R,4,0.9921592338267305
R,1,0.7191020377254946
R,2,0.9977337655572192
R,3,0.9964806171836256
R,4,0.9939591370000945
R,1,0.8901731469086529
R,2,0.9981028496791428
R,3,0.9956973926416718
R,4,0.9919261119229403
R,1,0.8578176952927767
R,2,0.9978601962437688
R,3,0.9963112687541963
R,4,0.9928024230120173
R,1,0.8454269568723998
R,2,0.9977362574802435
R,3,0.9964361241982813
R,4,0.9936934868303081
R,1,0.9003988753204991
R,2,0.9973057660772984
R,3,0.9951936530484771
R,4,0.9894054794551389
R,1,0.9164085993266263
R,2,0.9974614680479948
R,3,0.9967646772869896
R,4,0.9946550317529225
R,1,0.6929261995173873
R,2,0.9984145314236218
R,3,0.9960698853116667
R,4,0.9928487715936721
R,1,0.9179625171753966
R,2,0.9979333174147551
R,3,0.9959605765202844
R,4,0.9944214370355159
R,1,0.9561790278514476
R,2,0.9979978518828301
R,3,0.9965436866987327
R,4,0.9930872038129669
R,1,0.6794147126555402
R,2,0.9974723830867546
R,3,0.9959786313452845
R,4,0.9951552311961992
R,1,0.872811644557749
R,2,0.9981639725005292
R,3,0.9946347414715092
R,4,0.9956809142423384
R,1,0.7111179242152007
R,2,0.9977667943166968
R,3,0.9938472694671363
R,4,0.9956593296561569
R,1,0.3225252508389288
R,2,0.9981913555954791
R,3,0.9977413340368317
R,4,0.9901150573273554
R,1,0.3587249119264483
R,2,0.9974550259181385
R,3,0.995216244030842
R,4,0.9937564900294046
R,1,0.8737694357928923
R,2,0.9974576556990405
R,3,0.9944580142229713
R,4,0.9904144025081217
R,1,0.7242670439090358
R,2,0.9980004539002143
R,3,0.9971990045853484
R,4,0.9944296196071025
R,1,0.9444376571588392
R,2,0.9979569595889385
R,3,0.9959576872531958
R,4,0.9918494010846947
R,1,0.5278331841359637
R,2,0.9978326430750631
R,3,0.9961649531565465
R,4,0.9902672967376971
R,1,0.6054250445389381
R,2,0.9976335204536801
R,3,0.9966163363061898
R,4,0.9946424186764553
R,1,0.3640573253125199
R,2,0.9977637556451467
